Date,Open,High,Low,Close,Adj Close,Volume
5/26/2020,186.339996,186.5,181.100006,181.570007,178.372284,36073600
5/27/2020,180.199997,181.990005,176.600006,181.809998,178.608047,39517100
5/28/2020,180.740005,184.149994,180.380005,181.399994,178.205276,33810200
5/29/2020,182.729996,184.270004,180.410004,183.25,180.022705,42130400
6/1/2020,182.539993,183,181.460007,182.830002,179.610092,22622400
6/2/2020,184.25,185,181.350006,184.910004,181.653473,30794600
6/3/2020,184.820007,185.940002,183.580002,185.360001,182.095535,27311000
6/4/2020,184.300003,185.839996,182.300003,182.919998,179.698502,28761800
6/5/2020,182.619995,187.729996,182.009995,187.199997,183.903122,39893600
6/8/2020,185.940002,188.550003,184.440002,188.360001,185.042709,33211600
6/9/2020,188,190.699997,187.259995,189.800003,186.457352,29783900
6/10/2020,191.130005,198.520004,191.009995,196.839996,193.373367,43872300
6/11/2020,193.130005,195.759995,186.070007,186.270004,182.989532,52854700
6/12/2020,190.539993,191.720001,185.179993,187.740005,184.433655,43373600
6/15/2020,184.580002,190.820007,184.009995,188.940002,185.612473,32770200
6/16/2020,192.889999,195.580002,191.460007,193.570007,190.160965,42556700
6/17/2020,195.029999,196.320007,193.690002,194.240005,190.819153,25687800
6/18/2020,194,196.490005,194,196.320007,192.862534,23061600
6/19/2020,198.589996,199.289993,194.369995,195.149994,191.71312,44441100
6/22/2020,195.789993,200.759995,195.229996,200.570007,197.037689,32818900
6/23/2020,202.089996,203.949997,201.429993,201.910004,198.35408,30917400
6/24/2020,201.600006,203.25,196.559998,197.839996,194.355759,36740600
6/25/2020,197.800003,200.610001,195.470001,200.339996,196.811737,27803900
6/26/2020,199.729996,199.889999,194.880005,196.330002,192.872345,54675800
6/29/2020,195.779999,198.529999,193.550003,198.440002,194.945175,26701600
6/30/2020,197.880005,204.399994,197.740005,203.509995,199.925888,34310300
7/1/2020,203.139999,206.350006,201.770004,204.699997,201.094925,32061200
7/2/2020,205.679993,208.020004,205,206.259995,202.627457,29315800
7/6/2020,208.830002,211.130005,208.089996,210.699997,206.989243,31897600
7/7/2020,210.449997,214.669998,207.990005,208.25,204.582413,33600700
7/8/2020,210.070007,213.259995,208.690002,212.830002,209.081741,33600000
7/9/2020,216.330002,216.380005,211.470001,214.320007,210.545532,33121700
7/10/2020,213.619995,214.080002,211.080002,213.669998,209.906967,26177600
7/13/2020,214.479996,215.800003,206.5,207.070007,203.423203,38135600
7/14/2020,206.130005,208.850006,202.029999,208.350006,204.680634,37591800
7/15/2020,209.559998,211.330002,205.029999,208.039993,204.376114,32179400
7/16/2020,205.399994,205.699997,202.309998,203.919998,200.328674,29940700
7/17/2020,204.470001,205.039993,201.389999,202.880005,199.306992,31635300
7/20/2020,205,212.300003,203.009995,211.600006,207.873428,36884800
7/21/2020,213.660004,213.940002,208.029999,208.75,205.073624,37990400
7/22/2020,209.199997,212.300003,208.389999,211.75,208.020782,49605700
7/23/2020,207.190002,210.919998,202.149994,202.539993,198.972961,67457000
7/24/2020,200.419998,202.860001,197.509995,201.300003,197.754807,39827000
7/27/2020,201.470001,203.970001,200.860001,203.850006,200.259918,30160900
7/28/2020,203.610001,204.699997,201.740005,202.020004,198.462158,23251400
7/29/2020,202.5,204.649994,202.009995,204.059998,200.466202,19632600
7/30/2020,201,204.460007,199.570007,203.899994,200.309006,25079600
7/31/2020,204.399994,205.100006,199.009995,205.009995,201.39946,51044000
8/3/2020,211.520004,217.639999,210.440002,216.539993,212.72641,78983000
8/4/2020,214.169998,214.770004,210.309998,213.289993,209.533646,49280100
8/5/2020,214.899994,215,211.570007,212.940002,209.189804,28806400
8/6/2020,212.339996,216.369995,211.550003,216.350006,212.539749,32656800
8/7/2020,214.850006,215.699997,210.929993,212.479996,208.73793,27820400
8/10/2020,211.669998,211.880005,206.350006,208.25,204.582413,36716500
